geo_unit,Solo Adult,Adult Couple,Adult multi-house,Adult with Children,Couple with Children,Adults with Children
TEMP005709,14,9,3,5,11,4
TEMP005710,5,8,6,11,13,3
TEMP005711,7,7,4,5,18,0
TEMP005712,9,5,7,2,18,0
TEMP005713,8,11,6,10,13,1
TEMP005714,19,13,2,7,13,2
TEMP005715,10,5,4,6,13,4
TEMP005716,12,9,2,9,14,1
TEMP005717,12,13,1,8,15,1
TEMP005718,13,13,1,9,14,2
TEMP005719,13,5,5,9,15,3
TEMP005720,13,10,3,5,18,1
TEMP005721,11,6,6,7,14,1
TEMP005722,10,14,6,10,8,2
TEMP005723,13,10,4,7,14,2
TEMP005724,8,8,5,6,18,0
TEMP005725,14,7,4,10,15,2
TEMP005726,15,9,4,8,15,0
TEMP005727,15,8,5,6,14,3
TEMP005728,14,10,4,6,13,4
TEMP005729,13,8,4,5,15,1
TEMP005730,11,8,5,7,12,2
TEMP005731,10,14,4,3,16,2
TEMP005732,11,7,7,12,10,2
TEMP005733,20,9,3,10,8,3
TEMP005734,13,12,3,5,15,4
TEMP005735,14,10,3,8,12,2
TEMP005736,12,11,3,7,16,1
TEMP005737,16,17,4,7,11,3
TEMP005738,12,12,6,3,14,3
TEMP005739,13,9,4,2,15,2
TEMP005740,12,14,1,2,19,1
TEMP005741,19,7,1,8,14,2
TEMP005742,19,11,2,7,14,1
TEMP005743,8,13,2,7,14,2
TEMP005744,3,8,6,7,14,4
TEMP005745,16,17,5,3,13,0
TEMP005746,15,10,3,10,12,2
TEMP005747,17,13,1,4,13,3
TEMP005748,14,13,3,12,20,4
TEMP005749,13,17,4,8,20,3
TEMP005750,12,12,3,8,23,3
TEMP005751,17,18,3,8,20,4
TEMP005752,12,16,4,10,20,5
TEMP005753,17,16,5,11,20,2
TEMP005754,20,14,4,10,20,3
TEMP005755,19,17,5,9,20,2
TEMP005756,12,14,4,14,21,3
TEMP005757,26,16,5,5,18,5
TEMP005758,22,11,5,9,22,1
TEMP005759,15,12,5,7,24,2
TEMP005760,10,7,6,12,18,3
TEMP005761,15,16,5,4,21,6
TEMP005762,13,18,4,9,19,4
TEMP005763,22,17,6,7,19,3
TEMP005764,14,10,7,7,19,3
TEMP005765,19,11,7,8,22,3
TEMP005766,8,15,3,13,19,4
TEMP005767,16,17,4,7,21,5
TEMP005768,22,16,4,14,15,3
TEMP005769,17,20,4,10,15,3
TEMP005770,13,14,5,11,21,3
TEMP005771,17,17,4,6,24,4
TEMP005772,14,20,4,9,18,4
TEMP005773,21,13,3,9,19,5
TEMP005774,22,18,6,9,16,2
TEMP005775,18,18,6,8,23,1
TEMP005776,18,14,4,5,22,4
TEMP005777,13,16,5,6,17,6
TEMP005778,15,18,2,9,19,2
TEMP005779,17,16,5,5,22,4
TEMP005780,19,12,5,11,20,2
TEMP005781,17,9,5,8,18,4
TEMP005782,12,8,6,7,20,4
TEMP005783,15,17,6,13,15,3
TEMP005784,19,11,5,11,19,1
TEMP005785,13,14,4,9,17,3
TEMP005786,17,15,6,7,17,3
TEMP005787,23,11,4,5,22,1
TEMP005788,8,16,7,7,18,7
TEMP005789,21,13,3,9,20,1
TEMP005790,21,14,2,7,19,3
TEMP005791,12,13,4,6,20,5
TEMP005792,18,23,3,9,16,2
TEMP005793,9,14,4,9,20,3
TEMP005794,10,12,6,7,18,3
TEMP005795,18,17,3,13,15,2
TEMP005796,16,11,7,10,18,2
TEMP005797,19,17,1,11,17,3
TEMP005798,18,19,2,10,20,1
TEMP005799,11,15,6,14,16,2
TEMP005800,16,14,4,10,21,1
TEMP005801,9,14,7,10,16,3
TEMP005802,26,14,6,9,18,3
TEMP005803,25,14,3,12,14,3
TEMP005804,17,11,5,9,20,1
TEMP005805,17,14,6,11,16,3
TEMP005806,19,10,5,12,19,0
TEMP005807,6,15,7,8,23,1
TEMP005808,15,12,4,8,21,3
TEMP005809,14,9,2,6,20,5
TEMP005810,21,22,2,14,13,2
TEMP005811,10,17,6,7,19,4
TEMP005812,17,14,6,8,18,3
TEMP005813,13,7,7,11,18,1
TEMP005814,14,9,6,8,22,2
TEMP005815,16,14,3,10,17,3
TEMP005816,15,19,3,11,19,2
TEMP005817,18,18,3,6,21,1
TEMP005818,16,9,5,10,18,2
TEMP005819,20,19,5,11,16,2
TEMP005820,15,9,3,10,17,7
TEMP005821,23,15,5,3,23,2
TEMP005822,10,14,5,7,23,1
TEMP005823,15,13,5,9,17,4
TEMP005824,10,19,3,8,18,3
TEMP005825,14,13,5,5,19,4
TEMP005826,22,18,4,8,18,2
TEMP005827,20,15,3,13,16,1
TEMP005828,21,15,3,13,16,2
TEMP005829,11,13,6,5,18,4
TEMP005830,16,12,5,6,22,3
TEMP005831,8,9,7,6,19,4
TEMP005832,16,12,5,8,18,4
TEMP005833,9,15,5,9,17,2
TEMP005834,12,15,5,9,17,2
TEMP005835,15,14,3,10,12,7
TEMP005836,5,13,6,7,21,3
TEMP005837,15,16,2,11,18,1
TEMP005838,14,17,4,12,12,6
TEMP005839,12,15,6,11,16,1
TEMP005840,13,11,6,5,19,2
TEMP005841,12,14,4,4,17,5
TEMP005842,15,16,3,4,22,2
TEMP005843,14,9,6,8,18,5
TEMP005844,19,8,2,12,10,2
TEMP005845,10,14,8,8,17,2
TEMP005846,10,15,5,10,13,6
TEMP005847,19,9,5,6,14,7
TEMP005848,12,20,2,13,16,3
TEMP005849,15,10,4,8,15,6
TEMP005850,16,16,5,15,14,1
TEMP005851,17,12,4,10,20,2
TEMP005852,14,10,2,6,19,7
TEMP005853,21,11,5,6,23,0
TEMP005854,16,18,2,10,16,3
TEMP005855,15,10,6,3,21,2
TEMP005856,732,569,206,388,777,118
TEMP005857,10,15,4,8,17,5
TEMP005858,6,8,7,6,18,1
TEMP005859,11,12,4,6,16,0
TEMP005860,14,5,2,11,11,2
TEMP005861,10,8,3,6,17,1
TEMP005862,9,12,3,5,16,0
TEMP005863,13,12,3,5,12,2
TEMP005864,13,9,1,7,12,3
TEMP005865,11,10,5,5,14,2
TEMP005866,11,10,2,4,17,1
TEMP005867,9,7,5,11,11,2
TEMP005868,7,10,5,2,13,4
TEMP005869,16,12,2,8,12,2
TEMP005870,19,10,3,9,12,0
TEMP005871,16,12,4,4,14,1
TEMP005872,8,12,5,4,17,0
TEMP005873,10,11,4,9,13,1
TEMP005874,8,8,3,5,13,3
TEMP005875,9,10,2,6,17,1
TEMP005876,14,11,3,7,14,3
TEMP005877,11,8,4,4,11,4
TEMP005878,12,9,4,9,9,3
TEMP005879,9,11,4,5,14,4
TEMP005880,13,12,2,3,13,3
TEMP005881,14,8,3,6,14,1
TEMP005882,10,14,4,4,13,1
TEMP005883,8,7,6,9,11,3
TEMP005884,9,15,3,9,10,3
TEMP005885,10,9,6,10,11,0
TEMP005886,14,7,0,9,16,1
TEMP005887,16,9,1,12,7,4
TEMP005888,15,10,5,4,11,4
TEMP005889,21,11,6,7,17,4
TEMP005890,13,10,3,6,19,8
TEMP005891,10,10,5,10,15,9
TEMP005892,14,16,3,6,25,1
TEMP005893,5,14,6,8,19,3
TEMP005894,12,16,5,7,19,3
TEMP005895,16,20,2,6,22,4
TEMP005896,22,14,3,10,19,4
TEMP005897,12,20,4,9,16,5
TEMP005898,14,19,6,7,17,5
TEMP005899,15,10,2,14,24,1
TEMP005900,20,10,3,10,19,5
TEMP005901,23,16,4,12,14,3
TEMP005902,19,14,2,10,17,4
TEMP005903,6,14,6,13,17,4
TEMP005904,13,18,6,10,17,3
TEMP005905,24,14,4,10,15,5
TEMP005906,17,13,6,9,22,1
TEMP005907,13,11,4,8,15,9
TEMP005908,14,11,6,11,18,3
TEMP005909,12,14,7,15,16,2
TEMP005910,20,10,6,11,18,3
TEMP005911,10,12,6,11,16,5
TEMP005912,14,12,4,7,16,4
TEMP005913,14,12,5,8,17,4
TEMP005914,20,11,4,9,17,1
TEMP005915,16,12,4,11,13,5
TEMP005916,13,9,4,7,17,4
TEMP005917,16,18,2,9,15,4
TEMP005918,13,12,7,7,13,4
TEMP005919,17,12,1,7,21,3
TEMP005920,13,15,2,9,19,1
TEMP005921,17,11,3,8,17,4
TEMP005922,12,14,5,4,14,6
TEMP005923,7,19,2,6,19,2
TEMP005924,15,12,5,14,10,3
TEMP005925,11,17,5,8,16,1
TEMP005926,9,17,3,3,24,1
TEMP005927,4,9,4,8,15,5
TEMP005928,6,12,7,7,16,3
TEMP005929,13,12,4,5,19,2
TEMP005930,14,18,3,14,12,4
TEMP005931,26,11,1,9,14,3
TEMP005932,27,10,1,1,21,2
TEMP005933,10,9,7,5,17,4
TEMP005934,14,14,5,6,15,2
TEMP005935,20,12,5,7,17,2
TEMP005936,17,12,3,4,18,5
TEMP005937,17,17,2,3,15,5
TEMP005938,12,19,4,12,12,3
TEMP005939,20,12,4,5,20,1
TEMP005940,12,16,6,9,15,2
TEMP005941,16,9,3,11,16,2
TEMP005942,12,11,4,6,20,1
TEMP005943,12,15,2,3,23,3
TEMP005944,14,17,4,8,20,1
TEMP005945,18,11,3,6,18,3
TEMP005946,21,12,2,6,17,2
TEMP005947,19,14,0,7,14,4
TEMP005948,11,14,4,10,17,1
TEMP005949,15,12,3,8,18,1
TEMP005950,18,16,5,13,13,1
TEMP005951,17,22,2,7,15,2
TEMP005952,19,12,1,6,16,6
TEMP005953,15,15,5,2,20,2
TEMP005954,14,12,6,5,18,1
TEMP005955,18,15,3,8,15,5
TEMP005956,6,10,7,9,19,3
TEMP005957,10,12,7,8,14,2
TEMP005958,18,17,2,10,16,0
TEMP005959,14,11,3,3,19,2
TEMP005960,8,14,4,8,16,3
TEMP005961,15,10,5,7,14,5
TEMP005962,13,12,0,7,14,6
TEMP005963,19,12,2,5,20,2
TEMP005964,8,12,3,9,17,4
TEMP005965,14,14,5,8,14,3
TEMP005966,19,17,3,9,13,2
TEMP005967,9,17,5,11,16,1
TEMP005968,16,9,4,7,17,1
TEMP005969,17,9,6,6,19,2
TEMP005970,14,12,6,11,15,0
TEMP005971,10,14,2,10,17,4
TEMP005972,23,9,4,6,17,6
TEMP005973,13,12,5,13,13,1
TEMP005974,12,11,6,7,19,1
TEMP005975,25,21,4,9,26,2
TEMP005976,10,18,7,11,25,5
TEMP005977,19,12,7,13,31,2
TEMP005978,21,26,5,15,20,4
TEMP005979,20,22,3,10,24,6
TEMP005980,26,17,5,13,21,4
TEMP005981,25,14,6,9,25,6
TEMP005982,20,17,7,14,21,3
TEMP005983,18,12,7,20,19,5
TEMP005984,20,20,7,10,26,2
TEMP005985,38,18,4,17,21,3
TEMP005986,17,18,4,7,31,4
TEMP005987,21,18,6,8,25,3
TEMP005988,26,17,5,9,27,2
TEMP005989,26,18,3,9,27,6
TEMP005990,21,24,2,13,18,8
TEMP005991,7,8,5,6,12,6
TEMP005992,19,11,3,10,13,1
TEMP005993,11,16,4,6,12,3
TEMP005994,11,13,3,6,16,1
TEMP005995,12,7,4,3,18,5
TEMP005996,11,5,4,4,16,2
TEMP005997,15,12,3,6,16,1
TEMP005998,11,8,6,5,15,2
TEMP005999,13,7,6,8,9,4
TEMP006000,8,14,4,5,18,1
TEMP006001,8,8,6,14,10,2
TEMP006002,11,10,5,6,12,3
TEMP006003,5,9,5,8,15,2
TEMP006004,14,12,4,10,10,2
TEMP006005,10,7,6,6,17,0
TEMP006006,16,10,3,7,17,0
TEMP006007,7,7,2,6,12,3
TEMP006008,11,12,4,8,11,4
TEMP006009,6,10,1,6,10,8
TEMP006010,12,11,2,9,13,4
TEMP006011,9,12,4,5,13,4
TEMP006012,22,8,3,10,11,3
TEMP006013,11,9,2,10,9,4
TEMP006014,14,16,4,12,11,1
TEMP006015,12,8,5,5,15,2
TEMP006016,11,10,2,5,15,2
TEMP006017,13,15,2,7,14,3
TEMP006018,15,12,4,3,18,1
TEMP006019,15,16,2,10,10,4
TEMP006020,17,16,2,4,12,4
TEMP006021,10,9,5,6,14,1
TEMP006022,14,8,3,5,18,1
TEMP006023,11,4,5,7,12,3
TEMP006024,15,13,3,9,10,3
TEMP006025,12,8,3,6,13,5
TEMP006026,10,14,6,6,17,0
TEMP006027,13,17,3,4,15,2
TEMP006028,10,10,3,8,11,3
TEMP006029,16,10,5,3,15,2
TEMP006030,14,12,2,4,16,1
TEMP006031,9,14,5,4,14,3
TEMP006032,10,10,4,8,12,4
TEMP006033,9,10,4,6,13,3
TEMP006034,17,13,0,6,12,4
TEMP006035,9,6,6,7,12,2
TEMP006036,12,13,3,6,16,0
TEMP006037,7,16,4,7,16,1
TEMP006038,14,11,3,8,12,2
TEMP006039,22,9,2,9,15,0
TEMP006040,13,6,7,7,9,5
TEMP006041,7,12,5,6,16,3
TEMP006042,10,12,4,11,11,2
TEMP006043,9,9,4,2,17,3
TEMP006044,15,8,3,8,11,4
TEMP006045,16,11,3,8,14,3
TEMP006046,17,5,4,4,13,3
TEMP006047,14,7,6,6,15,1
TEMP006048,10,7,4,7,16,2
TEMP006049,19,17,2,9,22,1
TEMP006050,22,11,3,9,16,6
TEMP006051,17,15,6,9,21,3
TEMP006052,18,11,3,6,19,6
TEMP006053,20,20,4,15,17,1
TEMP006054,14,8,9,10,17,7
TEMP006055,11,21,6,13,20,1
TEMP006056,15,20,6,10,19,0
TEMP006057,15,17,6,7,21,1
TEMP006058,14,15,5,12,18,5
TEMP006059,18,14,5,8,21,5
TEMP006060,14,17,7,4,23,3
TEMP006061,19,15,5,13,18,0
TEMP006062,20,14,4,7,21,3
TEMP006063,24,19,2,7,20,4
TEMP006064,10,25,3,11,19,4
TEMP006065,18,12,5,11,20,2
TEMP006066,14,17,5,11,20,2
TEMP006067,25,18,3,9,17,4
TEMP006068,22,14,4,11,16,7
TEMP006069,13,16,3,10,19,3
TEMP006070,11,14,4,6,21,6
TEMP006071,11,10,7,11,18,3
TEMP006072,26,19,5,12,13,4
TEMP006073,18,14,3,9,21,3
TEMP006074,16,21,3,8,18,3
TEMP006075,13,10,9,10,19,5
TEMP006076,15,19,2,11,16,4
TEMP006077,14,10,7,11,16,3
TEMP006078,19,14,4,9,19,1
TEMP006079,13,8,6,6,16,7
TEMP006080,17,12,7,9,18,3
TEMP006081,10,12,6,5,22,3
TEMP006082,17,17,7,9,19,2
TEMP006083,23,18,4,9,19,0
TEMP006084,19,26,3,8,18,4
TEMP006085,14,15,2,14,16,4
TEMP006086,8,13,5,11,15,5
TEMP006087,11,13,5,7,21,2
TEMP006088,19,13,4,9,16,5
TEMP006089,14,8,6,8,18,4
TEMP006090,20,20,2,12,13,4
TEMP006091,17,17,3,7,18,3
TEMP006092,16,17,3,10,19,3
TEMP006093,25,19,1,10,17,4
TEMP006094,18,18,3,12,12,6
TEMP006095,17,14,3,9,20,1
TEMP006096,19,11,8,10,13,3
TEMP006097,23,14,4,7,22,1
TEMP006098,20,14,5,3,22,4
TEMP006099,18,15,3,6,20,3
TEMP006100,11,17,3,9,18,6
TEMP006101,19,7,5,15,18,1
TEMP006102,15,22,4,11,13,4
TEMP006103,12,16,4,15,13,4
TEMP006104,19,10,3,14,18,2
TEMP006105,20,12,1,12,16,4
TEMP006106,13,12,7,6,18,3
TEMP006107,14,12,4,6,20,4
TEMP006108,7,9,8,6,23,1
TEMP006109,17,6,8,11,18,3
TEMP006110,15,15,3,7,20,3
TEMP006111,20,23,4,9,19,2
TEMP006112,20,13,4,11,18,3
TEMP006113,17,13,4,4,24,2
TEMP006114,12,18,7,9,16,4
TEMP006115,23,23,5,8,16,2
TEMP006116,18,10,8,6,18,6
TEMP006117,16,14,5,10,18,1
TEMP006118,14,16,5,6,19,2
TEMP006119,16,17,3,10,15,5
TEMP006120,13,10,4,7,20,3
TEMP006121,13,13,4,9,19,3
TEMP006122,15,19,4,5,20,2
TEMP006123,12,12,5,12,16,4
TEMP006124,17,15,4,8,19,2
TEMP006125,19,12,1,4,21,3
TEMP006126,16,7,5,8,17,3
TEMP006127,15,11,3,11,18,1
TEMP006128,12,17,1,9,18,2
TEMP006129,14,14,4,7,20,2
TEMP006130,16,10,6,10,15,4
TEMP006131,28,10,3,11,16,1
TEMP006132,17,17,2,12,12,5
TEMP006133,23,13,3,10,14,4
TEMP006134,12,12,4,11,17,3
TEMP006135,9,12,6,9,9,2
TEMP006136,8,7,3,6,14,5
TEMP006137,17,10,4,7,13,1
TEMP006138,12,15,0,2,20,0
TEMP006139,14,9,6,7,13,1
TEMP006140,11,10,3,5,17,2
TEMP006141,9,13,2,8,14,1
TEMP006142,9,14,2,6,15,1
TEMP006143,13,12,3,4,14,2
TEMP006144,3,8,4,4,17,2
TEMP006145,21,14,2,8,9,3
TEMP006146,22,9,1,4,15,2
TEMP006147,10,10,4,7,17,0
TEMP006148,12,11,3,8,8,4
TEMP006149,14,9,3,5,16,2
TEMP006150,27,7,2,7,12,1
TEMP006151,17,7,3,8,9,5
TEMP006152,12,12,3,6,14,1
TEMP006153,12,10,3,4,14,2
TEMP006154,12,10,2,10,8,4
TEMP006155,12,8,5,5,14,2
TEMP006156,12,10,3,9,14,1
TEMP006157,12,11,3,5,10,6
TEMP006158,17,6,4,4,14,4
TEMP006159,12,10,2,8,15,1
TEMP006160,11,12,2,6,13,2
TEMP006161,9,11,5,7,12,2
TEMP006162,9,11,2,5,14,3
TEMP006163,11,6,4,8,14,1
TEMP006164,13,17,5,6,21,3
TEMP006165,22,10,7,5,17,4
TEMP006166,14,14,7,10,16,3
TEMP006167,16,14,4,6,21,2
TEMP006168,16,13,1,6,22,5
TEMP006169,24,11,3,10,20,1
TEMP006170,16,14,3,12,17,4
TEMP006171,23,17,2,9,18,3
TEMP006172,11,15,6,13,18,3
TEMP006173,18,13,6,9,18,3
TEMP006174,16,11,3,9,20,4
TEMP006175,9,11,5,7,18,3
TEMP006176,8,14,6,10,21,2
TEMP006177,11,16,3,9,21,2
TEMP006178,22,23,1,7,21,2
TEMP006179,10,17,2,10,20,4
TEMP006180,18,18,1,11,22,0
TEMP006181,18,14,4,10,15,6
TEMP006182,10,17,5,8,16,8
TEMP006183,17,16,4,7,19,4
TEMP006184,12,13,3,14,17,4
TEMP006185,12,9,3,5,25,2
TEMP006186,13,10,9,8,19,3
TEMP006187,14,12,4,8,18,6
TEMP006188,18,15,7,16,16,0
TEMP006189,14,14,3,9,21,2
TEMP006190,18,21,2,13,20,2
TEMP006191,18,16,5,11,20,4
TEMP006192,22,17,4,9,18,3
TEMP006193,9,20,4,5,18,4
TEMP006194,13,16,2,5,21,5
TEMP006195,19,13,4,10,18,4
TEMP006196,6,10,5,9,16,3
TEMP006197,27,18,2,8,14,1
TEMP006198,14,6,5,15,16,3
TEMP006199,13,12,5,4,23,3
TEMP006200,31,30,6,15,32,4
TEMP006201,15,13,6,10,14,4
TEMP006202,13,10,5,9,16,5
TEMP006203,17,16,2,11,14,2
TEMP006204,13,11,3,6,14,5
TEMP006205,17,9,5,6,15,3
TEMP006206,14,11,8,6,19,1
TEMP006207,15,7,7,8,17,1
TEMP006208,15,12,5,8,15,2
TEMP006209,13,13,5,6,18,2
TEMP006210,8,11,3,7,18,3
TEMP006211,25,9,4,9,14,2
TEMP006212,13,15,4,8,16,2
TEMP006213,18,13,3,10,17,1
TEMP006214,25,13,1,5,19,1
TEMP006215,19,11,3,10,16,3
TEMP006216,22,12,5,7,13,3
TEMP006217,12,9,5,5,19,2
TEMP006218,16,10,5,6,17,2
TEMP006219,17,10,5,10,18,1
TEMP006220,12,13,4,8,14,4
TEMP006221,8,17,3,9,20,0
TEMP006222,9,11,5,9,20,1
TEMP006223,13,13,6,11,14,1
TEMP006224,10,9,6,5,22,2
TEMP006225,16,12,2,6,17,3
TEMP006226,15,3,6,6,20,1
TEMP006227,10,14,4,5,19,2
TEMP006228,10,11,8,11,14,1
TEMP006229,14,16,6,6,20,0
TEMP006230,17,10,4,9,16,4
TEMP006231,23,10,3,10,14,2
TEMP006232,12,15,7,7,18,3
TEMP006233,14,8,5,7,14,5
TEMP006234,12,13,3,14,12,3
TEMP006235,12,15,3,12,15,4
TEMP006236,21,10,4,4,17,6
TEMP006237,16,10,3,8,16,3
TEMP006238,7,8,4,7,19,4
TEMP006239,16,16,3,3,15,4
TEMP006240,12,9,5,6,14,3
TEMP006241,13,11,3,9,17,3
TEMP006242,12,9,4,7,13,5
TEMP006243,14,14,2,7,13,5
TEMP006244,7,12,3,4,14,6
TEMP006245,12,10,3,7,17,3
TEMP006246,6,13,7,7,16,3
TEMP006247,8,14,3,5,17,3
TEMP006248,21,14,3,7,19,1
TEMP006249,11,16,3,11,14,5
TEMP006250,20,15,4,6,15,2
TEMP006251,12,19,4,13,14,2
TEMP006252,13,17,3,14,13,2
TEMP006253,11,11,3,8,20,1
TEMP006254,8,13,6,6,21,1
TEMP006255,16,5,7,8,20,2
TEMP006256,16,10,2,9,18,3
TEMP006257,14,14,5,8,16,4
TEMP006258,15,12,4,7,17,1
TEMP006259,15,14,3,10,16,3
TEMP006260,14,11,7,9,15,3
TEMP006261,11,14,4,10,14,2
TEMP006262,16,14,3,6,22,1
TEMP006263,15,8,8,4,19,2
TEMP006264,13,10,6,6,16,6
TEMP006265,12,9,5,12,18,2
TEMP006266,11,9,4,7,17,3
TEMP006267,9,7,7,7,19,2
TEMP006268,18,11,1,10,15,3
TEMP006269,13,9,5,5,19,4
TEMP006270,12,15,4,10,16,3
TEMP006271,20,16,8,11,26,1
TEMP006272,30,20,5,7,26,2
TEMP006273,24,18,4,9,26,3
TEMP006274,19,23,5,10,28,3
TEMP006275,20,20,4,9,32,2
TEMP006276,26,14,6,12,27,3
TEMP006277,19,12,4,13,27,6
TEMP006278,25,18,7,14,25,2
TEMP006279,17,14,6,15,28,3
TEMP006280,31,16,8,15,22,3
TEMP006281,26,15,8,9,27,5
TEMP006282,22,6,4,11,13,5
TEMP006283,17,20,2,11,23,7
TEMP006284,24,25,4,9,28,2
TEMP006285,20,18,5,7,30,3
TEMP006286,25,13,6,11,27,2
TEMP006287,27,22,4,11,24,5
TEMP006288,17,13,5,10,23,6
TEMP006289,16,18,5,12,27,2
TEMP006290,21,22,6,18,26,1
TEMP006291,27,23,5,9,28,1
TEMP006292,23,22,4,11,22,6
TEMP006293,20,16,4,19,23,2
TEMP006294,19,14,7,13,22,8
TEMP006295,29,17,6,12,26,3
TEMP006296,18,20,6,12,22,6
TEMP006297,21,22,7,14,19,6
TEMP006298,21,17,6,7,25,5
TEMP006299,30,21,5,9,25,4
TEMP006300,14,25,5,17,19,6
TEMP006301,23,19,4,11,26,4
TEMP006302,15,21,7,20,17,3
TEMP006303,4,8,5,7,14,2
TEMP006304,12,9,4,10,12,3
TEMP006305,7,9,4,6,17,1
TEMP006306,8,11,3,7,17,1
TEMP006307,13,11,3,6,18,1
TEMP006308,11,13,4,5,12,3
TEMP006309,13,10,4,4,19,1
TEMP006310,12,11,4,8,15,0
TEMP006311,12,11,5,5,15,2
TEMP006312,10,14,4,10,8,5
TEMP006313,9,8,2,7,15,2
TEMP006314,9,13,5,9,13,2
TEMP006315,8,16,4,7,12,1
TEMP006316,8,7,4,7,18,0
TEMP006317,6,5,8,8,15,0
TEMP006318,13,13,3,10,15,0
TEMP006319,14,17,2,7,14,2
TEMP006320,10,11,3,5,13,3
TEMP006321,12,9,2,5,19,1
TEMP006322,9,12,2,6,14,4
TEMP006323,15,5,5,10,11,2
TEMP006324,13,7,4,3,16,3
TEMP006325,13,10,6,5,13,2
TEMP006326,221,201,86,126,286,35
TEMP006327,9,16,3,9,14,1
TEMP006328,11,15,3,5,16,1
TEMP006329,11,6,3,9,13,3
TEMP006330,9,7,4,5,15,2
TEMP006331,7,8,2,6,10,6
TEMP006332,7,9,5,3,16,2
TEMP006333,15,13,0,5,10,6
TEMP006334,13,6,2,9,14,3
TEMP006335,11,11,7,9,13,1
TEMP006336,10,12,3,12,11,3
TEMP006337,4,13,5,10,12,3
TEMP006338,19,11,1,11,11,2
TEMP006339,11,10,3,11,10,2
TEMP006340,7,8,5,9,13,2
TEMP006341,7,11,3,6,15,4
TEMP006342,9,8,4,5,14,3
TEMP006343,6,13,4,8,16,2
TEMP006344,8,13,5,8,12,1
TEMP006345,8,11,4,10,13,1
TEMP006346,14,14,0,4,10,7
TEMP006347,11,6,5,7,15,2
TEMP006348,19,10,4,2,13,3
TEMP006349,9,11,0,8,14,4
TEMP006350,17,5,4,7,12,3
TEMP006351,11,14,5,5,14,3
TEMP006352,19,15,3,9,15,0
TEMP006353,11,10,4,6,11,4
TEMP006354,13,7,4,7,14,2
TEMP006355,12,7,2,8,15,2
TEMP006356,17,19,3,8,18,3
TEMP006357,10,8,9,25,10,3
TEMP006358,13,24,4,13,17,4
TEMP006359,21,16,3,16,20,0
TEMP006360,19,14,3,12,20,1
TEMP006361,17,17,7,12,22,1
TEMP006362,16,21,2,14,18,2
TEMP006363,15,14,5,8,21,1
TEMP006364,13,16,4,14,16,5
TEMP006365,19,9,8,11,16,5
TEMP006366,18,14,5,18,17,0
TEMP006367,6,12,4,8,24,4
TEMP006368,15,14,5,14,19,2
TEMP006369,23,11,6,8,17,4
TEMP006370,16,14,2,7,22,3
TEMP006371,17,10,8,10,18,5
TEMP006372,19,15,4,10,23,0
TEMP006373,21,9,3,15,17,4
TEMP006374,12,10,6,8,20,4
TEMP006375,16,7,10,10,17,6
TEMP006376,10,14,5,12,20,1
TEMP006377,12,15,3,9,22,3
TEMP006378,9,19,7,11,19,1
TEMP006379,22,12,5,11,16,3
TEMP006380,12,12,7,10,15,6
TEMP006381,12,19,4,7,22,3
TEMP006382,16,17,7,12,15,3
TEMP006383,15,10,3,11,19,4
TEMP006384,14,11,6,11,15,5
TEMP006385,13,24,4,12,15,5
TEMP006386,15,17,1,9,19,8
TEMP006387,18,15,5,8,19,3
TEMP006388,15,17,5,7,19,5
TEMP006389,13,11,6,10,19,4
TEMP006390,11,10,7,7,21,6
TEMP006391,19,15,4,10,17,5
TEMP006392,15,12,5,8,22,4
TEMP006393,15,13,4,12,20,1
TEMP006394,23,14,5,7,17,5
TEMP006395,11,18,5,10,17,3
TEMP006396,17,10,8,8,21,2
TEMP006397,16,14,6,12,14,4
TEMP006398,17,18,3,10,18,4
TEMP006399,21,14,5,6,19,4
TEMP006400,11,13,5,9,18,2
TEMP006401,20,13,4,6,21,1
TEMP006402,16,19,4,6,19,3
TEMP006403,14,11,6,4,24,2
TEMP006404,17,16,5,17,12,2
TEMP006405,16,7,3,12,16,7
TEMP006406,19,13,7,8,19,1
TEMP006407,17,15,4,6,18,3
TEMP006408,10,13,5,11,17,4
TEMP006409,16,15,5,6,20,3
TEMP006410,17,16,3,15,17,1
TEMP006411,11,15,5,10,21,3
TEMP006412,9,15,5,8,18,3
TEMP006413,16,10,8,10,22,0
TEMP006414,21,6,7,7,20,3
TEMP006415,23,15,1,7,24,2
TEMP006416,15,16,6,9,20,1
TEMP006417,13,15,4,9,21,0
TEMP006418,17,14,6,15,15,2
TEMP006419,17,11,5,14,19,3
TEMP006420,13,12,5,8,21,2
TEMP006421,18,13,2,10,17,4
TEMP006422,19,17,3,11,18,3
TEMP006423,17,16,6,11,17,1
TEMP006424,17,16,4,6,18,3
TEMP006425,16,14,6,12,19,2
TEMP006426,19,13,5,12,17,2
TEMP006427,28,14,3,10,18,2
TEMP006428,12,8,8,3,20,6
TEMP006429,19,15,2,6,18,4
TEMP006430,13,15,4,11,16,5
TEMP006431,11,14,3,12,17,3
TEMP006432,16,13,6,9,18,1
TEMP006433,20,13,1,5,21,5
TEMP006434,9,11,2,6,14,3
TEMP006435,10,5,5,8,12,2
TEMP006436,13,13,3,3,17,0
TEMP006437,8,10,3,6,12,5
TEMP006438,18,10,1,7,9,5
TEMP006439,19,14,4,13,15,3
TEMP006440,14,10,4,10,22,2
TEMP006441,18,13,2,9,21,6
TEMP006442,16,13,5,5,25,2
