geo_unit,Adults with children,Adults only
TEMP004698,15.0,20.0
TEMP004699,15.0,20.0
TEMP004700,17.0,15.0
TEMP004701,16.0,18.0
TEMP004702,17.0,15.0
TEMP004703,17.0,15.0
TEMP004704,13.0,20.0
TEMP004705,15.0,20.0
TEMP004706,14.0,22.0
TEMP004707,17.0,16.0
TEMP004708,17.0,16.0
TEMP004709,16.0,17.0
TEMP004710,17.0,16.0
TEMP004711,16.0,17.0
TEMP004712,18.0,13.0
TEMP004713,17.0,15.0
TEMP004714,17.0,15.0
TEMP004715,16.0,18.0
TEMP004716,20.0,8.0
TEMP004717,18.0,13.0
TEMP004718,17.0,16.0
TEMP004719,15.0,20.0
TEMP004720,17.0,15.0
TEMP004721,16.0,18.0
TEMP004722,17.0,15.0
TEMP004723,15.0,20.0
TEMP004724,17.0,15.0
TEMP004725,16.0,17.0
TEMP004726,25.0,19.0
TEMP004727,24.0,21.0
TEMP004728,23.0,23.0
TEMP004729,21.0,27.0
TEMP004730,20.0,30.0
TEMP004731,24.0,21.0
TEMP004732,25.0,19.0
TEMP004733,25.0,19.0
TEMP004734,22.0,26.0
TEMP004735,23.0,24.0
TEMP004736,24.0,21.0
TEMP004737,24.0,21.0
TEMP004738,25.0,19.0
TEMP004739,25.0,18.0
TEMP004740,24.0,22.0
TEMP004741,22.0,25.0
TEMP004742,23.0,23.0
TEMP004743,21.0,27.0
TEMP004744,24.0,22.0
TEMP004745,25.0,18.0
TEMP004746,25.0,18.0
TEMP004747,23.0,23.0
TEMP004748,23.0,23.0
TEMP004749,22.0,25.0
TEMP004750,23.0,21.0
TEMP004751,24.0,18.0
TEMP004752,22.0,23.0
TEMP004753,23.0,20.0
TEMP004754,22.0,23.0
TEMP004755,23.0,20.0
TEMP004756,23.0,20.0
TEMP004757,21.0,25.0
TEMP004758,22.0,23.0
TEMP004759,21.0,24.0
TEMP004760,21.0,25.0
TEMP004761,23.0,21.0
TEMP004762,23.0,21.0
TEMP004763,23.0,20.0
TEMP004764,21.0,25.0
TEMP004765,22.0,23.0
TEMP004766,22.0,22.0
TEMP004767,21.0,26.0
TEMP004768,22.0,22.0
TEMP004769,23.0,20.0
TEMP004770,22.0,23.0
TEMP004771,21.0,26.0
TEMP004772,22.0,22.0
TEMP004773,23.0,21.0
TEMP004774,21.0,25.0
TEMP004775,23.0,20.0
TEMP004776,18.0,31.0
TEMP004777,23.0,21.0
TEMP004778,21.0,25.0
TEMP004779,23.0,21.0
TEMP004780,24.0,18.0
TEMP004781,24.0,18.0
TEMP004782,22.0,23.0
TEMP004783,23.0,21.0
TEMP004784,21.0,25.0
TEMP004785,49.0,39.0
TEMP004786,47.0,43.0
TEMP004787,48.0,40.0
TEMP004788,43.0,52.0
TEMP004789,47.0,42.0
TEMP004790,21.0,27.0
TEMP004791,25.0,18.0
TEMP004792,24.0,20.0
TEMP004793,25.0,17.0
TEMP004794,24.0,19.0
TEMP004795,25.0,18.0
TEMP004796,24.0,19.0
TEMP004797,22.0,24.0
TEMP004798,21.0,26.0
TEMP004799,23.0,22.0
TEMP004800,23.0,22.0
TEMP004801,22.0,25.0
TEMP004802,22.0,24.0
TEMP004803,24.0,20.0
TEMP004804,24.0,20.0
TEMP004805,22.0,25.0
TEMP004806,23.0,22.0
TEMP004807,25.0,18.0
TEMP004808,23.0,22.0
TEMP004809,24.0,20.0
TEMP004810,21.0,26.0
TEMP004811,23.0,23.0
TEMP004812,22.0,25.0
TEMP004813,23.0,22.0
TEMP004814,25.0,18.0
TEMP004815,24.0,19.0
TEMP004816,25.0,17.0
TEMP004817,23.0,23.0
TEMP004818,21.0,27.0
TEMP004819,24.0,20.0
TEMP004820,23.0,22.0
TEMP004821,22.0,24.0
TEMP004822,22.0,25.0
TEMP004823,23.0,22.0
TEMP004824,24.0,19.0
TEMP004825,23.0,22.0
TEMP004826,23.0,22.0
TEMP004827,25.0,18.0
TEMP004828,25.0,18.0
TEMP004829,21.0,27.0
TEMP004830,19.0,21.0
TEMP004831,18.0,23.0
TEMP004832,21.0,16.0
TEMP004833,20.0,19.0
TEMP004834,19.0,21.0
TEMP004835,20.0,19.0
TEMP004836,20.0,19.0
TEMP004837,19.0,21.0
TEMP004838,21.0,16.0
TEMP004839,18.0,23.0
TEMP004840,20.0,18.0
TEMP004841,21.0,16.0
TEMP004842,18.0,24.0
TEMP004843,20.0,19.0
TEMP004844,22.0,14.0
TEMP004845,308.0,315.0
TEMP004846,21.0,17.0
TEMP004847,20.0,18.0
TEMP004848,20.0,19.0
TEMP004849,20.0,18.0
TEMP004850,18.0,23.0
TEMP004851,21.0,17.0
TEMP004852,18.0,24.0
TEMP004853,23.0,21.0
TEMP004854,21.0,17.0
TEMP004855,27.0,24.0
TEMP004856,29.0,20.0
TEMP004857,28.0,22.0
TEMP004858,26.0,26.0
TEMP004859,24.0,31.0
TEMP004860,27.0,24.0
TEMP004861,25.0,28.0
TEMP004862,28.0,22.0
TEMP004863,29.0,19.0
TEMP004864,24.0,30.0
TEMP004865,26.0,27.0
TEMP004866,26.0,26.0
TEMP004867,25.0,28.0
TEMP004868,27.0,24.0
TEMP004869,29.0,19.0
TEMP004870,26.0,26.0
TEMP004871,26.0,26.0
TEMP004872,27.0,24.0
TEMP004873,28.0,21.0
TEMP004874,27.0,24.0
TEMP004875,26.0,26.0
TEMP004876,26.0,27.0
TEMP004877,27.0,23.0
TEMP004878,25.0,28.0
TEMP004879,30.0,16.0
TEMP004880,27.0,24.0
TEMP004881,28.0,22.0
TEMP004882,28.0,21.0
TEMP004883,29.0,20.0
TEMP004884,26.0,27.0
TEMP004885,29.0,19.0
TEMP004886,25.0,28.0
TEMP004887,25.0,28.0
TEMP004888,28.0,22.0
TEMP004889,20.0,20.0
TEMP004890,21.0,17.0
TEMP004891,21.0,18.0
TEMP004892,19.0,22.0
TEMP004893,20.0,21.0
TEMP004894,22.0,15.0
TEMP004895,20.0,20.0
TEMP004896,22.0,15.0
TEMP004897,21.0,17.0
TEMP004898,20.0,20.0
TEMP004899,20.0,20.0
TEMP004900,19.0,22.0
TEMP004901,20.0,20.0
TEMP004902,19.0,22.0
TEMP004903,19.0,23.0
TEMP004904,21.0,18.0
TEMP004905,19.0,23.0
TEMP004906,17.0,28.0
TEMP004907,20.0,20.0
TEMP004908,21.0,19.0
TEMP004909,22.0,15.0
TEMP004910,21.0,18.0
TEMP004911,19.0,23.0
TEMP004912,19.0,23.0
TEMP004913,20.0,21.0
TEMP004914,21.0,18.0
TEMP004915,18.0,26.0
TEMP004916,19.0,23.0
TEMP004917,20.0,21.0
TEMP004918,19.0,23.0
TEMP004919,20.0,20.0
TEMP004920,20.0,20.0
TEMP004921,19.0,22.0
TEMP004922,23.0,13.0
TEMP004923,18.0,26.0
TEMP004924,18.0,24.0
TEMP004925,21.0,17.0
TEMP004926,21.0,18.0
TEMP004927,20.0,20.0
TEMP004928,20.0,21.0
TEMP004929,25.0,15.0
TEMP004930,22.0,22.0
TEMP004931,22.0,22.0
TEMP004932,25.0,15.0
TEMP004933,23.0,21.0
TEMP004934,21.0,25.0
TEMP004935,22.0,22.0
TEMP004936,24.0,19.0
TEMP004937,23.0,21.0
TEMP004938,24.0,18.0
TEMP004939,25.0,16.0
TEMP004940,22.0,23.0
TEMP004941,23.0,20.0
TEMP004942,24.0,27.0
TEMP004943,24.0,26.0
TEMP004944,26.0,23.0
TEMP004945,25.0,24.0
TEMP004946,23.0,29.0
TEMP004947,26.0,22.0
TEMP004948,23.0,29.0
TEMP004949,25.0,24.0
TEMP004950,23.0,29.0
TEMP004951,28.0,17.0
TEMP004952,23.0,29.0
TEMP004953,26.0,22.0
TEMP004954,25.0,24.0
TEMP004955,23.0,29.0
TEMP004956,24.0,27.0
TEMP004957,26.0,23.0
TEMP004958,24.0,26.0
TEMP004959,25.0,24.0
TEMP004960,24.0,27.0
TEMP004961,24.0,26.0
TEMP004962,25.0,24.0
TEMP004963,24.0,26.0
TEMP004964,24.0,26.0
TEMP004965,25.0,24.0
TEMP004966,28.0,17.0
TEMP004967,24.0,26.0
TEMP004968,26.0,22.0
TEMP004969,24.0,26.0
TEMP004970,24.0,26.0
TEMP004971,28.0,18.0
TEMP004972,27.0,19.0
TEMP004973,22.0,31.0
TEMP004974,27.0,19.0
TEMP004975,24.0,26.0
TEMP004976,25.0,24.0
TEMP004977,26.0,22.0
TEMP004978,26.0,22.0
TEMP004979,26.0,21.0
TEMP004980,23.0,28.0
TEMP004981,28.0,17.0
TEMP004982,25.0,24.0
TEMP004983,26.0,22.0
TEMP004984,29.0,15.0
TEMP004985,24.0,26.0
TEMP004986,25.0,25.0
TEMP004987,22.0,17.0
TEMP004988,22.0,17.0
TEMP004989,23.0,15.0
TEMP004990,20.0,22.0
TEMP004991,19.0,24.0
TEMP004992,17.0,28.0
TEMP004993,20.0,22.0
TEMP004994,21.0,20.0
TEMP004995,22.0,17.0
TEMP004996,19.0,24.0
TEMP004997,19.0,25.0
TEMP004998,22.0,17.0
TEMP004999,21.0,19.0
TEMP005000,16.0,31.0
TEMP005001,17.0,28.0
TEMP005002,23.0,15.0
TEMP005003,17.0,13.0
TEMP005004,15.0,17.0
TEMP005005,18.0,11.0
TEMP005006,16.0,15.0
TEMP005007,17.0,14.0
TEMP005008,16.0,16.0
TEMP005009,18.0,15.0
TEMP005010,15.0,21.0
TEMP005011,15.0,22.0
TEMP005012,17.0,17.0
TEMP005013,16.0,19.0
TEMP005014,17.0,17.0
TEMP005015,17.0,17.0
TEMP005016,16.0,19.0
TEMP005017,16.0,19.0
TEMP005018,17.0,17.0
TEMP005019,16.0,19.0
TEMP005020,17.0,18.0
TEMP005021,15.0,21.0
TEMP005022,18.0,15.0
TEMP005023,17.0,16.0
TEMP005024,17.0,17.0
TEMP005025,19.0,13.0
TEMP005026,15.0,21.0
TEMP005027,17.0,16.0
TEMP005028,18.0,14.0
TEMP005029,16.0,19.0
TEMP005030,18.0,15.0
TEMP005031,18.0,14.0
TEMP005032,15.0,21.0
TEMP005033,15.0,21.0
TEMP005034,17.0,16.0
TEMP005035,17.0,18.0
TEMP005036,16.0,19.0
TEMP005037,17.0,18.0
TEMP005038,16.0,20.0
TEMP005039,15.0,21.0
TEMP005040,18.0,15.0
TEMP005041,16.0,19.0
TEMP005042,17.0,17.0
TEMP005043,15.0,21.0
TEMP005044,17.0,17.0
TEMP005045,19.0,13.0
TEMP005046,18.0,14.0
TEMP005047,17.0,17.0
TEMP005048,16.0,19.0
TEMP005049,21.0,8.0
TEMP005050,19.0,12.0
TEMP005051,19.0,26.0
TEMP005052,26.0,10.0
TEMP005053,22.0,18.0
TEMP005054,22.0,18.0
TEMP005055,21.0,21.0
TEMP005056,22.0,19.0
TEMP005057,21.0,21.0
TEMP005058,19.0,25.0
TEMP005059,19.0,25.0
TEMP005060,21.0,22.0
TEMP005061,19.0,26.0
TEMP005062,21.0,21.0
TEMP005063,21.0,21.0
TEMP005064,20.0,23.0
TEMP005065,23.0,17.0
TEMP005066,21.0,22.0
TEMP005067,20.0,23.0
TEMP005068,22.0,18.0
TEMP005069,21.0,20.0
TEMP005070,21.0,20.0
TEMP005071,20.0,23.0
TEMP005072,22.0,18.0
TEMP005073,21.0,21.0
TEMP005074,20.0,23.0
TEMP005075,20.0,24.0
TEMP005076,22.0,19.0
TEMP005077,21.0,20.0
TEMP005078,20.0,23.0
TEMP005079,20.0,23.0
TEMP005080,21.0,21.0
TEMP005081,26.0,10.0
TEMP005082,22.0,19.0
TEMP005083,22.0,19.0
TEMP005084,19.0,26.0
TEMP005085,20.0,23.0
TEMP005086,21.0,20.0
TEMP005087,15.0,17.0
TEMP005088,17.0,13.0
TEMP005089,15.0,18.0
TEMP005090,16.0,15.0
TEMP005091,15.0,17.0
TEMP005092,16.0,15.0
TEMP005093,14.0,20.0
TEMP005094,16.0,15.0
TEMP005095,17.0,14.0
TEMP005096,17.0,13.0
TEMP005097,15.0,18.0
TEMP005098,16.0,16.0
TEMP005099,15.0,17.0
TEMP005100,15.0,17.0
TEMP005101,18.0,10.0
TEMP005102,16.0,15.0
TEMP005103,17.0,13.0
TEMP005104,15.0,18.0
TEMP005105,15.0,18.0
TEMP005106,16.0,16.0
TEMP005107,15.0,17.0
TEMP005108,17.0,12.0
TEMP005109,15.0,17.0
TEMP005110,14.0,20.0
TEMP005111,17.0,12.0
TEMP005112,16.0,15.0
TEMP005113,16.0,15.0
TEMP005114,14.0,21.0
TEMP005115,14.0,20.0
TEMP005116,14.0,20.0
TEMP005117,16.0,16.0
TEMP005118,17.0,13.0
TEMP005119,15.0,18.0
TEMP005120,24.0,19.0
TEMP005121,22.0,25.0
TEMP005122,23.0,21.0
TEMP005123,25.0,18.0
TEMP005124,24.0,20.0
TEMP005125,22.0,24.0
TEMP005126,26.0,15.0
TEMP005127,23.0,22.0
TEMP005128,22.0,24.0
TEMP005129,21.0,27.0
TEMP005130,23.0,22.0
TEMP005131,20.0,29.0
TEMP005132,22.0,24.0
TEMP005133,25.0,17.0
TEMP005134,22.0,25.0
TEMP005135,24.0,20.0
TEMP005136,22.0,24.0
TEMP005137,23.0,23.0
TEMP005138,20.0,28.0
TEMP005139,22.0,24.0
TEMP005140,24.0,19.0
TEMP005141,23.0,23.0
TEMP005142,21.0,26.0
TEMP005143,23.0,23.0
TEMP005144,22.0,24.0
TEMP005145,23.0,22.0
TEMP005146,24.0,20.0
TEMP005147,22.0,24.0
TEMP005148,24.0,19.0
TEMP005149,24.0,20.0
TEMP005150,19.0,21.0
TEMP005151,20.0,18.0
TEMP005152,19.0,17.0
TEMP005153,20.0,19.0
TEMP005154,20.0,19.0
TEMP005155,17.0,25.0
TEMP005156,20.0,18.0
TEMP005157,17.0,26.0
TEMP005158,19.0,22.0
TEMP005159,20.0,19.0
TEMP005160,21.0,16.0
TEMP005161,23.0,11.0
TEMP005162,20.0,19.0
TEMP005163,20.0,19.0
TEMP005164,20.0,19.0
TEMP005165,19.0,20.0
TEMP005166,19.0,20.0
TEMP005167,21.0,16.0
TEMP005168,17.0,25.0
TEMP005169,19.0,17.0
TEMP005170,20.0,19.0
TEMP005171,19.0,22.0
TEMP005172,20.0,18.0
TEMP005173,19.0,22.0
TEMP005174,18.0,23.0
TEMP005175,19.0,20.0
TEMP005176,19.0,21.0
TEMP005177,19.0,21.0
TEMP005178,21.0,17.0
TEMP005179,19.0,20.0
TEMP005180,22.0,14.0
TEMP005181,20.0,19.0
TEMP005182,22.0,15.0
TEMP005183,19.0,20.0
TEMP005184,21.0,17.0
TEMP005185,17.0,26.0
TEMP005186,19.0,21.0
TEMP005187,20.0,19.0
TEMP005188,17.0,21.0
TEMP005189,20.0,19.0
TEMP005190,20.0,19.0
TEMP005191,19.0,17.0
TEMP005192,16.0,29.0
TEMP005193,21.0,16.0
TEMP005194,20.0,19.0
TEMP005195,20.0,19.0
TEMP005196,20.0,18.0
TEMP005197,21.0,17.0
TEMP005198,20.0,19.0
TEMP005199,19.0,21.0
TEMP005200,19.0,20.0
TEMP005201,20.0,18.0
TEMP005202,17.0,26.0
TEMP005203,18.0,23.0
TEMP005204,21.0,17.0
TEMP005205,16.0,24.0
TEMP005206,20.0,19.0
TEMP005207,22.0,14.0
TEMP005208,18.0,24.0
TEMP005209,20.0,19.0
TEMP005210,18.0,23.0
TEMP005211,22.0,13.0
TEMP005212,19.0,21.0
TEMP005213,21.0,16.0
TEMP005214,21.0,16.0
TEMP005215,19.0,21.0
TEMP005216,16.0,24.0
TEMP005217,19.0,21.0
TEMP005218,21.0,17.0
TEMP005219,23.0,32.0
TEMP005220,19.0,22.0
TEMP005221,20.0,20.0
TEMP005222,20.0,19.0
TEMP005223,21.0,16.0
TEMP005224,25.0,17.0
TEMP005225,26.0,37.0
TEMP005226,29.0,30.0
TEMP005227,29.0,30.0
TEMP005228,29.0,30.0
TEMP005229,31.0,26.0
TEMP005230,32.0,23.0
TEMP005231,30.0,27.0
TEMP005232,20.0,21.0
TEMP005233,29.0,30.0
TEMP005234,29.0,30.0
TEMP005235,30.0,28.0
TEMP005236,32.0,23.0
TEMP005237,31.0,25.0
TEMP005238,28.0,31.0
TEMP005239,28.0,32.0
TEMP005240,31.0,25.0
TEMP005241,30.0,27.0
TEMP005242,32.0,23.0
TEMP005243,28.0,32.0
TEMP005244,27.0,34.0
TEMP005245,29.0,29.0
TEMP005246,48.0,60.0
TEMP005247,28.0,33.0
TEMP005248,28.0,32.0
TEMP005249,18.0,25.0
TEMP005250,25.0,39.0
TEMP005251,30.0,27.0
TEMP005252,30.0,28.0
TEMP005253,30.0,27.0
TEMP005254,31.0,25.0
TEMP005255,31.0,24.0
TEMP005256,31.0,25.0
TEMP005257,30.0,27.0
TEMP005258,30.0,28.0
TEMP005259,15.0,20.0
TEMP005260,16.0,17.0
TEMP005261,16.0,18.0
TEMP005262,17.0,15.0
TEMP005263,18.0,14.0
TEMP005264,17.0,16.0
TEMP005265,17.0,16.0
TEMP005266,16.0,17.0
TEMP005267,15.0,20.0
TEMP005268,17.0,15.0
TEMP005269,16.0,18.0
TEMP005270,18.0,13.0
TEMP005271,16.0,18.0
TEMP005272,15.0,20.0
TEMP005273,19.0,11.0
TEMP005274,15.0,20.0
TEMP005275,16.0,18.0
TEMP005276,18.0,14.0
TEMP005277,16.0,17.0
TEMP005278,15.0,20.0
TEMP005279,18.0,13.0
TEMP005280,15.0,20.0
TEMP005281,18.0,13.0
TEMP005282,16.0,17.0
TEMP005283,19.0,11.0
TEMP005284,17.0,15.0
TEMP005285,15.0,19.0
TEMP005286,18.0,13.0
TEMP005287,17.0,16.0
TEMP005288,20.0,9.0
TEMP005289,17.0,15.0
TEMP005290,17.0,16.0
TEMP005291,18.0,13.0
TEMP005292,15.0,20.0
TEMP005293,16.0,18.0
TEMP005294,16.0,18.0
TEMP005295,19.0,11.0
TEMP005296,17.0,16.0
TEMP005297,18.0,13.0
TEMP005298,14.0,22.0
TEMP005299,15.0,20.0
TEMP005300,18.0,13.0
TEMP005301,19.0,11.0
TEMP005302,18.0,13.0
TEMP005303,17.0,16.0
TEMP005304,18.0,14.0
TEMP005305,17.0,16.0
TEMP005306,17.0,16.0
TEMP005307,18.0,13.0
TEMP005308,16.0,18.0
TEMP005309,16.0,18.0
TEMP005310,20.0,31.0
TEMP005311,22.0,26.0
TEMP005312,23.0,23.0
TEMP005313,21.0,28.0
TEMP005314,25.0,19.0
TEMP005315,23.0,23.0
TEMP005316,22.0,26.0
TEMP005317,25.0,18.0
TEMP005318,25.0,19.0
TEMP005319,25.0,19.0
TEMP005320,20.0,30.0
TEMP005321,22.0,26.0
TEMP005322,23.0,24.0
TEMP005323,22.0,25.0
TEMP005324,23.0,23.0
TEMP005325,21.0,28.0
TEMP005326,20.0,31.0
TEMP005327,25.0,18.0
TEMP005328,23.0,24.0
TEMP005329,23.0,24.0
TEMP005330,24.0,21.0
TEMP005331,22.0,26.0
TEMP005332,25.0,19.0
TEMP005333,23.0,24.0
TEMP005334,24.0,21.0
TEMP005335,22.0,26.0
TEMP005336,22.0,25.0
TEMP005337,22.0,25.0
TEMP005338,22.0,26.0
TEMP005339,26.0,17.0
TEMP005340,23.0,20.0
TEMP005341,20.0,28.0
TEMP005342,22.0,23.0
TEMP005343,23.0,21.0
TEMP005344,21.0,25.0
TEMP005345,23.0,20.0
TEMP005346,19.0,29.0
TEMP005347,24.0,18.0
TEMP005348,25.0,16.0
TEMP005349,25.0,16.0
TEMP005350,22.0,23.0
TEMP005351,24.0,18.0
TEMP005352,19.0,29.0
TEMP005353,22.0,22.0
TEMP005354,24.0,18.0
TEMP005355,23.0,20.0
TEMP005356,23.0,20.0
TEMP005357,23.0,20.0
TEMP005358,21.0,25.0
TEMP005359,22.0,23.0
TEMP005360,21.0,25.0
TEMP005361,20.0,27.0
TEMP005362,23.0,20.0
TEMP005363,22.0,23.0
TEMP005364,23.0,21.0
TEMP005365,23.0,20.0
TEMP005366,25.0,16.0
TEMP005367,25.0,15.0
TEMP005368,22.0,23.0
TEMP005369,19.0,29.0
TEMP005370,22.0,23.0
TEMP005371,22.0,23.0
TEMP005372,22.0,23.0
TEMP005373,22.0,23.0
TEMP005374,25.0,16.0
TEMP005375,19.0,29.0
TEMP005376,21.0,25.0
TEMP005377,12.0,10.0
TEMP005378,22.0,23.0
TEMP005379,22.0,23.0
TEMP005380,22.0,23.0
TEMP005381,21.0,25.0
TEMP005382,25.0,16.0
TEMP005383,26.0,13.0
TEMP005384,24.0,18.0
TEMP005385,23.0,21.0
TEMP005386,22.0,24.0
TEMP005387,23.0,21.0
TEMP005388,19.0,31.0
TEMP005389,19.0,17.0
TEMP005390,14.0,28.0
TEMP005391,19.0,21.0
TEMP005392,17.0,26.0
TEMP005393,18.0,24.0
TEMP005394,21.0,17.0
TEMP005395,19.0,20.0
TEMP005396,19.0,21.0
TEMP005397,18.0,23.0
TEMP005398,22.0,15.0
TEMP005399,17.0,26.0
TEMP005400,18.0,24.0
TEMP005401,19.0,21.0
TEMP005402,18.0,23.0
TEMP005403,20.0,19.0
TEMP005404,21.0,16.0
TEMP005405,19.0,21.0
TEMP005406,20.0,19.0
TEMP005407,20.0,19.0
TEMP005408,22.0,15.0
TEMP005409,22.0,14.0
TEMP005410,20.0,19.0
TEMP005411,23.0,12.0
TEMP005412,18.0,24.0
TEMP005413,17.0,25.0
TEMP005414,20.0,19.0
TEMP005415,20.0,19.0
TEMP005416,18.0,23.0
TEMP005417,20.0,19.0
TEMP005418,19.0,20.0
TEMP005419,19.0,21.0
TEMP005420,21.0,17.0
TEMP005421,20.0,18.0
TEMP005422,20.0,19.0
TEMP005423,21.0,16.0
TEMP005424,19.0,21.0
TEMP005425,19.0,21.0
TEMP005426,21.0,17.0
TEMP005427,21.0,16.0
TEMP005428,18.0,23.0
TEMP005429,19.0,21.0
TEMP005430,18.0,23.0
TEMP005431,21.0,17.0
TEMP005432,21.0,16.0
TEMP005433,20.0,18.0
TEMP005434,20.0,18.0
TEMP005435,18.0,23.0
TEMP005436,21.0,16.0
TEMP005437,22.0,14.0
TEMP005438,17.0,21.0
TEMP005439,19.0,22.0
TEMP005440,19.0,21.0
TEMP005441,19.0,20.0
TEMP005442,20.0,18.0
TEMP005443,19.0,20.0
TEMP005444,20.0,19.0
TEMP005445,21.0,17.0
TEMP005446,21.0,16.0
TEMP005447,21.0,16.0
TEMP005448,22.0,15.0
TEMP005449,19.0,21.0
TEMP005450,19.0,21.0
TEMP005451,21.0,16.0
TEMP005452,21.0,17.0
TEMP005453,17.0,26.0
TEMP005454,19.0,17.0
TEMP005455,243.0,232.0
TEMP005456,18.0,19.0
TEMP005457,21.0,16.0
TEMP005458,20.0,19.0
TEMP005459,19.0,21.0
TEMP005460,20.0,19.0
TEMP005461,20.0,19.0
TEMP005462,21.0,16.0
TEMP005463,17.0,25.0
TEMP005464,17.0,21.0
TEMP005465,2277.0,2254.0
TEMP005466,17.0,27.0
TEMP005467,20.0,18.0
TEMP005468,32.0,22.0
TEMP005469,27.0,34.0
TEMP005470,29.0,30.0
TEMP005471,32.0,22.0
TEMP005472,27.0,35.0
TEMP005473,27.0,34.0
TEMP005474,33.0,20.0
TEMP005475,27.0,34.0
TEMP005476,29.0,30.0
TEMP005477,28.0,32.0
TEMP005478,30.0,28.0
TEMP005479,29.0,30.0
TEMP005480,31.0,25.0
TEMP005481,31.0,26.0
TEMP005482,30.0,28.0
TEMP005483,31.0,26.0
TEMP005484,29.0,30.0
TEMP005485,32.0,23.0
TEMP005486,28.0,32.0
TEMP005487,29.0,30.0
TEMP005488,31.0,25.0
TEMP005489,29.0,30.0
TEMP005490,31.0,25.0
TEMP005491,28.0,33.0
TEMP005492,28.0,31.0
TEMP005493,26.0,37.0
TEMP005494,15.0,20.0
TEMP005495,17.0,15.0
TEMP005496,17.0,16.0
TEMP005497,17.0,16.0
TEMP005498,17.0,15.0
TEMP005499,16.0,17.0
TEMP005500,16.0,18.0
TEMP005501,16.0,18.0
TEMP005502,18.0,13.0
TEMP005503,18.0,14.0
TEMP005504,18.0,12.0
TEMP005505,16.0,17.0
TEMP005506,16.0,17.0
TEMP005507,16.0,18.0
TEMP005508,18.0,13.0
TEMP005509,19.0,11.0
TEMP005510,16.0,18.0
TEMP005511,18.0,13.0
TEMP005512,15.0,20.0
TEMP005513,18.0,13.0
TEMP005514,17.0,16.0
TEMP005515,16.0,18.0
TEMP005516,18.0,13.0
TEMP005517,16.0,18.0
TEMP005518,16.0,17.0
TEMP005519,16.0,18.0
TEMP005520,19.0,10.0
TEMP005521,16.0,18.0
TEMP005522,17.0,15.0
TEMP005523,18.0,14.0
TEMP005524,15.0,19.0
TEMP005525,15.0,20.0
TEMP005526,16.0,18.0
TEMP005527,18.0,14.0
TEMP005528,18.0,14.0
TEMP005529,22.0,26.0
TEMP005530,22.0,25.0
TEMP005531,22.0,25.0
TEMP005532,23.0,23.0
TEMP005533,23.0,23.0
TEMP005534,22.0,25.0
TEMP005535,25.0,19.0
TEMP005536,20.0,30.0
TEMP005537,22.0,26.0
TEMP005538,25.0,18.0
TEMP005539,25.0,19.0
TEMP005540,21.0,28.0
TEMP005541,24.0,21.0
TEMP005542,25.0,19.0
TEMP005543,22.0,26.0
TEMP005544,23.0,23.0
TEMP005545,21.0,28.0
TEMP005546,23.0,23.0
TEMP005547,22.0,26.0
TEMP005548,24.0,20.0
TEMP005549,23.0,23.0
TEMP005550,21.0,27.0
TEMP005551,23.0,23.0
TEMP005552,23.0,24.0
TEMP005553,23.0,24.0
TEMP005554,23.0,23.0
TEMP005555,25.0,19.0
TEMP005556,24.0,21.0
TEMP005557,22.0,26.0
TEMP005558,22.0,25.0
TEMP005559,21.0,29.0
TEMP005560,23.0,24.0
TEMP005561,22.0,25.0
TEMP005562,21.0,28.0
TEMP005563,25.0,19.0
TEMP005564,23.0,23.0
TEMP005565,25.0,19.0
TEMP005566,25.0,19.0
TEMP005567,25.0,19.0
TEMP005568,22.0,25.0
TEMP005569,23.0,21.0
TEMP005570,23.0,20.0
TEMP005571,23.0,20.0
TEMP005572,22.0,23.0
TEMP005573,21.0,26.0
TEMP005574,23.0,21.0
TEMP005575,21.0,26.0
TEMP005576,21.0,25.0
TEMP005577,21.0,25.0
TEMP005578,19.0,29.0
TEMP005579,24.0,18.0
TEMP005580,23.0,20.0
TEMP005581,24.0,18.0
TEMP005582,23.0,21.0
TEMP005583,24.0,18.0
TEMP005584,25.0,16.0
TEMP005585,23.0,20.0
TEMP005586,22.0,23.0
TEMP005587,22.0,22.0
TEMP005588,23.0,21.0
TEMP005589,25.0,16.0
TEMP005590,21.0,26.0
TEMP005591,22.0,22.0
TEMP005592,21.0,24.0
TEMP005593,23.0,20.0
TEMP005594,23.0,20.0
TEMP005595,20.0,27.0
TEMP005596,19.0,30.0
TEMP005597,23.0,20.0
TEMP005598,23.0,21.0
TEMP005599,21.0,26.0
TEMP005600,24.0,18.0
TEMP005601,24.0,17.0
TEMP005602,24.0,18.0
TEMP005603,24.0,18.0
TEMP005604,22.0,15.0
TEMP005605,18.0,24.0
TEMP005606,20.0,19.0
TEMP005607,20.0,19.0
TEMP005608,20.0,19.0
TEMP005609,17.0,25.0
TEMP005610,21.0,17.0
TEMP005611,21.0,16.0
TEMP005612,20.0,19.0
TEMP005613,19.0,21.0
TEMP005614,22.0,14.0
TEMP005615,21.0,16.0
TEMP005616,21.0,16.0
TEMP005617,20.0,19.0
TEMP005618,19.0,21.0
TEMP005619,18.0,23.0
TEMP005620,20.0,19.0
TEMP005621,18.0,23.0
TEMP005622,22.0,15.0
TEMP005623,18.0,23.0
TEMP005624,19.0,21.0
TEMP005625,23.0,11.0
TEMP005626,21.0,16.0
TEMP005627,21.0,17.0
TEMP005628,21.0,17.0
TEMP005629,20.0,19.0
